"Codigo de via";"Clase de la via";"Particula de la via";"Nombre de la via";"Tipo de tramo ";"Nombre de la aproximacion";"Numero inicial del tramo";"Calificador del numero inicial del tramo";"Numero final del tramo";"Calificador del numero final del tramo";"Codigo postal";"Seccion de carteria"
"31001308";"GLORIETA                ";"DEL   ";"SANTUARIO DE TISCAR                             ";"impar";"NUM";"000001";"  ";"009999";"  ";"28049";"N/D"
"31001308";"GLORIETA                ";"DEL   ";"SANTUARIO DE TISCAR                             ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28049";"N/D"
"31001312";"AVENIDA                 ";"DE LAS";"TRECE ROSAS                                     ";"impar";"NUM";"000001";"  ";"009999";"  ";"28017";"N/D"
"31001312";"AVENIDA                 ";"DE LAS";"TRECE ROSAS                                     ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28017";"N/D"
"31001315";"CALLE                   ";"DE    ";"JESUS DE POLANCO                                ";"impar";"NUM";"000001";"  ";"009999";"  ";"28035";"N/D"
"31001315";"CALLE                   ";"DE    ";"JESUS DE POLANCO                                ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28035";"N/D"
"31001316";"CALLE                   ";"DE    ";"ENRIQUE DE ALDAMA                               ";"impar";"NUM";"000001";"  ";"009999";"  ";"28035";"N/D"
"31001316";"CALLE                   ";"DE    ";"ENRIQUE DE ALDAMA                               ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28035";"N/D"
"31001317";"CALLE                   ";"DE    ";"JAVIER TUSELL                                   ";"impar";"NUM";"000001";"  ";"009999";"  ";"28035";"N/D"
"31001317";"CALLE                   ";"DE    ";"JAVIER TUSELL                                   ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28035";"N/D"
"31001318";"CALLE                   ";"DE    ";"MIGUEL FISAC                                    ";"impar";"NUM";"000001";"  ";"009999";"  ";"28035";"N/D"
"31001318";"CALLE                   ";"DE    ";"MIGUEL FISAC                                    ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28035";"N/D"
"31001324";"CALLE                   ";"DEL   ";"TRANVIA A LAS CANTERAS DE MONTE VIEJO           ";"impar";"NUM";"000001";"  ";"009999";"  ";"28031";"N/D"
"31001324";"CALLE                   ";"DEL   ";"TRANVIA A LAS CANTERAS DE MONTE VIEJO           ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28031";"N/D"
"31001335";"PLAZA                   ";"DE    ";"JULIAN MARIAS                                   ";"impar";"NUM";"000001";"  ";"009999";"  ";"28026";"N/D"
"31001335";"PLAZA                   ";"DE    ";"JULIAN MARIAS                                   ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28026";"N/D"
"31001343";"CALLE                   ";"DEL   ";"DOCTOR JUAN JOSE LOPEZ IBOR                     ";"impar";"NUM";"000001";"  ";"000009";"  ";"28035";"N/D"
"31001343";"CALLE                   ";"DEL   ";"DOCTOR JUAN JOSE LOPEZ IBOR                     ";"impar";"NUM";"000011";"  ";"009999";"  ";"28035";"N/D"
"31001343";"CALLE                   ";"DEL   ";"DOCTOR JUAN JOSE LOPEZ IBOR                     ";"par  ";"NUM";"000002";"  ";"000002";"  ";"28035";"N/D"
"31001343";"CALLE                   ";"DEL   ";"DOCTOR JUAN JOSE LOPEZ IBOR                     ";"par  ";"NUM";"000004";"  ";"009998";"  ";"28035";"N/D"
"31001346";"CALLE                   ";"      ";"KILO                                            ";"impar";"NUM";"000001";"  ";"009999";"  ";"28042";"N/D"
"31001346";"CALLE                   ";"      ";"KILO                                            ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28042";"N/D"
"31001347";"CALLE                   ";"      ";"JULIET                                          ";"impar";"NUM";"000001";"  ";"009999";"  ";"28042";"N/D"
"31001347";"CALLE                   ";"      ";"JULIET                                          ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28042";"N/D"
"31001348";"CALLE                   ";"      ";"MIKE                                            ";"impar";"NUM";"000001";"  ";"009999";"  ";"28042";"N/D"
"31001348";"CALLE                   ";"      ";"MIKE                                            ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28042";"N/D"
"31001351";"CALLE                   ";"DE    ";"AGATHA CHRISTIE                                 ";"impar";"NUM";"000001";"  ";"009999";"  ";"28055";"N/D"
"31001351";"CALLE                   ";"DE    ";"AGATHA CHRISTIE                                 ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28055";"N/D"
"31001360";"GLORIETA                ";"DE    ";"ROCIO DURCAL                                    ";"impar";"NUM";"000001";"  ";"009999";"  ";"28039";"N/D"
"31001360";"GLORIETA                ";"DE    ";"ROCIO DURCAL                                    ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28039";"N/D"
"31001366";"CALLE                   ";"DE    ";"LEOPOLDO CALVO SOTELO                           ";"impar";"NUM";"000001";"  ";"009999";"  ";"28031";"N/D"
"31001366";"CALLE                   ";"DE    ";"LEOPOLDO CALVO SOTELO                           ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28031";"N/D"
"31001367";"CALLE                   ";"DE    ";"SABINO FERNANDEZ CAMPO                          ";"impar";"NUM";"000001";"  ";"009999";"  ";"28031";"N/D"
